   45																																													
Setophaga_graciae_UWBM_111891_NM    	0.26576	0.26131	0.19115	0.26530	0.26411	0.24547	0.24606	0.19365	0.19324	0.18881	0.19281	0.00000	0.18327	0.20791	0.21383	0.20835	0.23429	0.24009	0.19433	0.19931	0.19867	0.19622	0.19598	0.19691	0.19804	0.19698	0.19745	0.20008	0.19784	0.19575	0.19474	0.19697	0.19531	0.19350	0.20845	0.26189	0.19402	0.19340	0.19592	0.24614	0.24678	0.24659	0.24524	0.24524	0.19742
Setophaga_graciae_UWBM_111896_NM    	0.26589	0.26186	0.19152	0.26587	0.26456	0.24177	0.24569	0.19713	0.19146	0.19002	0.19083	0.18327	0.00000	0.21144	0.21545	0.21017	0.23659	0.23994	0.19593	0.20109	0.19909	0.19744	0.19627	0.19754	0.19716	0.19828	0.19528	0.20020	0.19968	0.19497	0.19356	0.19552	0.19545	0.19222	0.20916	0.26348	0.19528	0.19681	0.19504	0.24577	0.24782	0.24718	0.24736	0.24540	0.19786
Setophaga_graciae_UWBM_112576_GUE    	0.25821	0.25252	0.21120	0.25944	0.25671	0.23659	0.23833	0.21163	0.21239	0.20814	0.21044	0.20791	0.21144	0.00000	0.18699	0.18720	0.22790	0.23095	0.20833	0.21087	0.20488	0.20705	0.20923	0.20711	0.20723	0.21088	0.20774	0.21018	0.21239	0.20906	0.20930	0.20733	0.21423	0.21255	0.18442	0.25404	0.20829	0.21082	0.21228	0.23738	0.23961	0.24050	0.23761	0.23547	0.21317
Setophaga_graciae_UWBM_112587_GUE    	0.26353	0.25729	0.21506	0.26386	0.26016	0.23891	0.24355	0.21734	0.21695	0.21388	0.21691	0.21383	0.21545	0.18699	0.00000	0.19306	0.23402	0.23838	0.21382	0.21395	0.21218	0.21268	0.21111	0.21280	0.21245	0.21448	0.21326	0.21348	0.21425	0.21521	0.21302	0.21233	0.21954	0.21602	0.19001	0.25899	0.21346	0.21650	0.21599	0.24372	0.24499	0.24370	0.24318	0.24126	0.21626
Setophaga_graciae_UWBM_112592_GUE    	0.25948	0.25118	0.20983	0.25749	0.25596	0.23552	0.23632	0.21107	0.21044	0.20782	0.20891	0.20835	0.21017	0.18720	0.19306	0.00000	0.22661	0.22943	0.20817	0.20841	0.20762	0.20778	0.20727	0.20813	0.20698	0.20865	0.20685	0.20901	0.21040	0.20916	0.20660	0.20421	0.21336	0.21075	0.18361	0.25344	0.21188	0.20986	0.21148	0.23711	0.24007	0.23994	0.23723	0.23631	0.21257
Setophaga_graciae_UWBM_113059_CHI    	0.22623	0.22002	0.23896	0.21614	0.21430	0.19371	0.19482	0.23637	0.23795	0.23352	0.23499	0.23429	0.23659	0.22790	0.23402	0.22661	0.00000	0.17725	0.23456	0.23301	0.23261	0.23532	0.23215	0.23379	0.23547	0.23283	0.23456	0.23593	0.23807	0.23365	0.23352	0.23233	0.24171	0.23730	0.22642	0.21309	0.23565	0.23608	0.23580	0.19304	0.19524	0.19406	0.19525	0.19356	0.23764
Setophaga_graciae_UWBM_113126_CHI    	0.22666	0.22125	0.24107	0.21775	0.21745	0.19611	0.19825	0.23977	0.24071	0.23743	0.23975	0.24009	0.23994	0.23095	0.23838	0.22943	0.17725	0.00000	0.23771	0.23923	0.23679	0.23628	0.23619	0.23833	0.23816	0.23790	0.23770	0.24170	0.24052	0.23969	0.23695	0.23624	0.24305	0.23895	0.22956	0.21454	0.23606	0.23878	0.23729	0.19653	0.19611	0.19714	0.19579	0.19560	0.23962
Setophaga_graciae_UWBM_113970_DUR    	0.26238	0.25943	0.19672	0.26518	0.26169	0.24082	0.24334	0.19641	0.19807	0.19469	0.19500	0.19433	0.19593	0.20833	0.21382	0.20817	0.23456	0.23771	0.00000	0.19698	0.19401	0.19542	0.19495	0.19294	0.19219	0.19397	0.19229	0.19606	0.19654	0.19205	0.19594	0.19348	0.19863	0.19736	0.20575	0.25917	0.19591	0.19861	0.19402	0.24327	0.24385	0.24520	0.24611	0.24246	0.19918
Setophaga_graciae_UWBM_114011_DUR    	0.26540	0.26057	0.20051	0.26546	0.26462	0.24399	0.24450	0.20128	0.20052	0.19817	0.19937	0.19931	0.20109	0.21087	0.21395	0.20841	0.23301	0.23923	0.19698	0.00000	0.19302	0.19128	0.19051	0.19848	0.19558	0.19951	0.19740	0.19877	0.19925	0.19669	0.19675	0.19645	0.20300	0.19836	0.20778	0.26040	0.19898	0.20186	0.19821	0.24508	0.24757	0.24849	0.24852	0.24618	0.20150
Setophaga_graciae_UWBM_114012_DUR    	0.26282	0.25858	0.19544	0.26461	0.26050	0.24023	0.24277	0.19754	0.19807	0.19585	0.19579	0.19867	0.19909	0.20488	0.21218	0.20762	0.23261	0.23679	0.19401	0.19302	0.00000	0.19217	0.19141	0.19447	0.19531	0.19322	0.19220	0.19663	0.19687	0.19459	0.19249	0.19144	0.19954	0.19517	0.20747	0.25869	0.19542	0.19671	0.19341	0.24282	0.24407	0.24421	0.24270	0.24242	0.19734
