"INDV1"	"INDV2"	"RELATEDNESS_PHI"
"1673"	"Setophaga_graciae_UWBM_114047_DUR"	"Setophaga_graciae_UWBM_114039_DUR"	0.121923
"381"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_MSB_12905566_NM"	0.0492407
"485"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_MSB_12905564_NM"	0.0492407
"489"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_MSB_12905568_NM"	0.0427256
"593"	"Setophaga_graciae_MSB_12905568_NM"	"Setophaga_graciae_MSB_12905566_NM"	0.0427256
"2"	"Setophaga_graciae_CM_S10255_BEL"	"Setophaga_graciae_CM_S9116_BEL"	0.0409845
"54"	"Setophaga_graciae_CM_S9116_BEL"	"Setophaga_graciae_CM_S10255_BEL"	0.0409845
"383"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_MSB_12905568_NM"	0.0391914
"591"	"Setophaga_graciae_MSB_12905568_NM"	"Setophaga_graciae_MSB_12905564_NM"	0.0391914
"1784"	"Setophaga_graciae_UWBM_114088_CHIH"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0358996
"1836"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_114088_CHIH"	0.0358996
"436"	"Setophaga_graciae_MSB_12905565_NM"	"Setophaga_graciae_MSB_12905568_NM"	0.0350795
"592"	"Setophaga_graciae_MSB_12905568_NM"	"Setophaga_graciae_MSB_12905565_NM"	0.0350795
"1841"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_114127_CHIH"	0.0348707
"2049"	"Setophaga_graciae_UWBM_114127_CHIH"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0348707
"512"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0348655
"1812"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_MSB_12905566_NM"	0.0348655
"434"	"Setophaga_graciae_MSB_12905565_NM"	"Setophaga_graciae_MSB_12905566_NM"	0.0346301
"486"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_MSB_12905565_NM"	0.0346301
"406"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_114089_CHIH"	0.034589
"1810"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_MSB_12905564_NM"	0.034589
"1842"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_114128_CHIH"	0.0345686
"2102"	"Setophaga_graciae_UWBM_114128_CHIH"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0345686
"1731"	"Setophaga_graciae_UWBM_114087_CHIH"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0344742
"1835"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_114087_CHIH"	0.0344742
"1848"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_77735_ARI"	0.0343042
"2420"	"Setophaga_graciae_UWBM_77735_ARI"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0343042
"1678"	"Setophaga_graciae_UWBM_114047_DUR"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0341841
"1834"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_114047_DUR"	0.0341841
"1413"	"Setophaga_graciae_UWBM_114012_DUR"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0341206
"1829"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_114012_DUR"	0.0341206
"1840"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_114126_CHIH"	0.034115
"1996"	"Setophaga_graciae_UWBM_114126_CHIH"	"Setophaga_graciae_UWBM_114089_CHIH"	0.034115
"1519"	"Setophaga_graciae_UWBM_114038_DUR"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0340627
"1831"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_114038_DUR"	0.0340627
"1466"	"Setophaga_graciae_UWBM_114019_DUR"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0340255
"1830"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_114019_DUR"	0.0340255
"1838"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_114090_CHIH"	0.0339592
"1890"	"Setophaga_graciae_UWBM_114090_CHIH"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0339592
"1572"	"Setophaga_graciae_UWBM_114039_DUR"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0339039
"1832"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_114039_DUR"	0.0339039
"380"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_MSB_12905565_NM"	0.0338646
"432"	"Setophaga_graciae_MSB_12905565_NM"	"Setophaga_graciae_MSB_12905564_NM"	0.0338646
"1307"	"Setophaga_graciae_UWBM_113970_DUR"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0338433
"1827"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_113970_DUR"	0.0338433
"1847"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_77653_ARI"	0.0337822
"2367"	"Setophaga_graciae_UWBM_77653_ARI"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0337822
"883"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0336847
"1819"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_111891_NM"	0.0336847
"1839"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_UWBM_114091_CHIH"	0.033655
"1943"	"Setophaga_graciae_UWBM_114091_CHIH"	"Setophaga_graciae_UWBM_114089_CHIH"	0.033655
