"INDV1"	"INDV2"	"RELATEDNESS_PHI"
"2498"	"Setophaga_graciae_UWBM_93801_CPN"	"Setophaga_graciae_KU_8218_SANA"	0.0127811
"313"	"Setophaga_graciae_KU_8199_SANA"	"Setophaga_graciae_UWBM_93801_CPN"	0.012777
"2497"	"Setophaga_graciae_UWBM_93801_CPN"	"Setophaga_graciae_KU_8199_SANA"	0.012777
"1577"	"Setophaga_graciae_UWBM_114039_DUR"	"Setophaga_graciae_UWBM_114128_CHIH"	0.0127243
"2097"	"Setophaga_graciae_UWBM_114128_CHIH"	"Setophaga_graciae_UWBM_114039_DUR"	0.0127243
"947"	"Setophaga_graciae_UWBM_111896_NM"	"Setophaga_graciae_UWBM_77735_ARI"	0.0126988
"2403"	"Setophaga_graciae_UWBM_77735_ARI"	"Setophaga_graciae_UWBM_111896_NM"	0.0126988
"450"	"Setophaga_graciae_MSB_12905565_NM"	"Setophaga_graciae_UWBM_114011_DUR"	0.0126947
"1334"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_MSB_12905565_NM"	0.0126947
"35"	"Setophaga_graciae_CM_S10255_BEL"	"Setophaga_graciae_UWBM_114089_CHIH"	0.0125393
"1803"	"Setophaga_graciae_UWBM_114089_CHIH"	"Setophaga_graciae_CM_S10255_BEL"	0.0125393
"1417"	"Setophaga_graciae_UWBM_114012_DUR"	"Setophaga_graciae_UWBM_114127_CHIH"	0.0123762
"2041"	"Setophaga_graciae_UWBM_114127_CHIH"	"Setophaga_graciae_UWBM_114012_DUR"	0.0123762
"1681"	"Setophaga_graciae_UWBM_114047_DUR"	"Setophaga_graciae_UWBM_114126_CHIH"	0.0123321
"1993"	"Setophaga_graciae_UWBM_114126_CHIH"	"Setophaga_graciae_UWBM_114047_DUR"	0.0123321
"1893"	"Setophaga_graciae_UWBM_114090_CHIH"	"Setophaga_graciae_UWBM_114126_CHIH"	0.0123258
"1997"	"Setophaga_graciae_UWBM_114126_CHIH"	"Setophaga_graciae_UWBM_114090_CHIH"	0.0123258
"1895"	"Setophaga_graciae_UWBM_114090_CHIH"	"Setophaga_graciae_UWBM_114128_CHIH"	0.0122805
"2103"	"Setophaga_graciae_UWBM_114128_CHIH"	"Setophaga_graciae_UWBM_114090_CHIH"	0.0122805
"1523"	"Setophaga_graciae_UWBM_114038_DUR"	"Setophaga_graciae_UWBM_114127_CHIH"	0.0122611
"2043"	"Setophaga_graciae_UWBM_114127_CHIH"	"Setophaga_graciae_UWBM_114038_DUR"	0.0122611
"1310"	"Setophaga_graciae_UWBM_113970_DUR"	"Setophaga_graciae_UWBM_114126_CHIH"	0.0121927
"1986"	"Setophaga_graciae_UWBM_114126_CHIH"	"Setophaga_graciae_UWBM_113970_DUR"	0.0121927
"1299"	"Setophaga_graciae_UWBM_113970_DUR"	"Setophaga_graciae_UWBM_114012_DUR"	0.0121749
"1403"	"Setophaga_graciae_UWBM_114012_DUR"	"Setophaga_graciae_UWBM_113970_DUR"	0.0121749
"812"	"Setophaga_graciae_UWBM_108714_NEV"	"Setophaga_graciae_UWBM_111891_NM"	0.0120886
"864"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_108714_NEV"	0.0120886
"1624"	"Setophaga_graciae_UWBM_114046_DUR"	"Setophaga_graciae_UWBM_114088_CHIH"	0.0120704
"1780"	"Setophaga_graciae_UWBM_114088_CHIH"	"Setophaga_graciae_UWBM_114046_DUR"	0.0120704
"164"	"Setophaga_graciae_KU_33633_RACN"	"Setophaga_graciae_KU_33634_RACN"	0.01205
"216"	"Setophaga_graciae_KU_33634_RACN"	"Setophaga_graciae_KU_33633_RACN"	0.01205
"123"	"Setophaga_graciae_DMNS_52524_COL"	"Setophaga_graciae_UWBM_111891_NM"	0.0119775
"851"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_DMNS_52524_COL"	0.0119775
"1411"	"Setophaga_graciae_UWBM_114012_DUR"	"Setophaga_graciae_UWBM_114087_CHIH"	0.011963
"1723"	"Setophaga_graciae_UWBM_114087_CHIH"	"Setophaga_graciae_UWBM_114012_DUR"	0.011963
"1470"	"Setophaga_graciae_UWBM_114019_DUR"	"Setophaga_graciae_UWBM_114127_CHIH"	0.0119521
"2042"	"Setophaga_graciae_UWBM_114127_CHIH"	"Setophaga_graciae_UWBM_114019_DUR"	0.0119521
"499"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_112592_GUE"	0.0119437
"1123"	"Setophaga_graciae_UWBM_112592_GUE"	"Setophaga_graciae_MSB_12905566_NM"	0.0119437
"837"	"Setophaga_graciae_UWBM_108714_NEV"	"Setophaga_graciae_UWBM_114424_NEV"	0.0118414
"2189"	"Setophaga_graciae_UWBM_114424_NEV"	"Setophaga_graciae_UWBM_108714_NEV"	0.0118414
"1575"	"Setophaga_graciae_UWBM_114039_DUR"	"Setophaga_graciae_UWBM_114126_CHIH"	0.0118109
"1991"	"Setophaga_graciae_UWBM_114126_CHIH"	"Setophaga_graciae_UWBM_114039_DUR"	0.0118109
"1630"	"Setophaga_graciae_UWBM_114046_DUR"	"Setophaga_graciae_UWBM_114128_CHIH"	0.0118082
"2098"	"Setophaga_graciae_UWBM_114128_CHIH"	"Setophaga_graciae_UWBM_114046_DUR"	0.0118082
"1576"	"Setophaga_graciae_UWBM_114039_DUR"	"Setophaga_graciae_UWBM_114127_CHIH"	0.0118066
"2044"	"Setophaga_graciae_UWBM_114127_CHIH"	"Setophaga_graciae_UWBM_114039_DUR"	0.0118066
"1469"	"Setophaga_graciae_UWBM_114019_DUR"	"Setophaga_graciae_UWBM_114126_CHIH"	0.0118005
"1989"	"Setophaga_graciae_UWBM_114126_CHIH"	"Setophaga_graciae_UWBM_114019_DUR"	0.0118005
"467"	"Setophaga_graciae_MSB_12905565_NM"	"Setophaga_graciae_UWBM_115308_GUE"	0.0117505
"2235"	"Setophaga_graciae_UWBM_115308_GUE"	"Setophaga_graciae_MSB_12905565_NM"	0.0117505
"1416"	"Setophaga_graciae_UWBM_114012_DUR"	"Setophaga_graciae_UWBM_114126_CHIH"	0.0117183
"1988"	"Setophaga_graciae_UWBM_114126_CHIH"	"Setophaga_graciae_UWBM_114012_DUR"	0.0117183
"1312"	"Setophaga_graciae_UWBM_113970_DUR"	"Setophaga_graciae_UWBM_114128_CHIH"	0.0116762
"2092"	"Setophaga_graciae_UWBM_114128_CHIH"	"Setophaga_graciae_UWBM_113970_DUR"	0.0116762
"370"	"Setophaga_graciae_KU_8218_SANA"	"Setophaga_graciae_UWBM_93808_CPN"	0.0116728
"2710"	"Setophaga_graciae_UWBM_93808_CPN"	"Setophaga_graciae_KU_8218_SANA"	0.0116728
"443"	"Setophaga_graciae_MSB_12905565_NM"	"Setophaga_graciae_UWBM_112575_GUE"	0.0116644
"963"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_MSB_12905565_NM"	0.0116644
"2000"	"Setophaga_graciae_UWBM_114126_CHIH"	"Setophaga_graciae_UWBM_114127_CHIH"	0.0116491
"2052"	"Setophaga_graciae_UWBM_114127_CHIH"	"Setophaga_graciae_UWBM_114126_CHIH"	0.0116491
"1730"	"Setophaga_graciae_UWBM_114087_CHIH"	"Setophaga_graciae_UWBM_114088_CHIH"	0.0116417
"1782"	"Setophaga_graciae_UWBM_114088_CHIH"	"Setophaga_graciae_UWBM_114087_CHIH"	0.0116417
"997"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_UWBM_115308_GUE"	0.0116365
"2245"	"Setophaga_graciae_UWBM_115308_GUE"	"Setophaga_graciae_UWBM_112575_GUE"	0.0116365
"446"	"Setophaga_graciae_MSB_12905565_NM"	"Setophaga_graciae_UWBM_112592_GUE"	0.0116018
"1122"	"Setophaga_graciae_UWBM_112592_GUE"	"Setophaga_graciae_MSB_12905565_NM"	0.0116018
"1785"	"Setophaga_graciae_UWBM_114088_CHIH"	"Setophaga_graciae_UWBM_114090_CHIH"	0.0114963
"1889"	"Setophaga_graciae_UWBM_114090_CHIH"	"Setophaga_graciae_UWBM_114088_CHIH"	0.0114963
"1515"	"Setophaga_graciae_UWBM_114038_DUR"	"Setophaga_graciae_UWBM_114046_DUR"	0.0114796
"1619"	"Setophaga_graciae_UWBM_114046_DUR"	"Setophaga_graciae_UWBM_114038_DUR"	0.0114796
"875"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_114012_DUR"	0.0114661
"1395"	"Setophaga_graciae_UWBM_114012_DUR"	"Setophaga_graciae_UWBM_111891_NM"	0.0114661
"316"	"Setophaga_graciae_KU_8199_SANA"	"Setophaga_graciae_UWBM_93807_CPN"	0.0113748
"2656"	"Setophaga_graciae_UWBM_93807_CPN"	"Setophaga_graciae_KU_8199_SANA"	0.0113748
"1462"	"Setophaga_graciae_UWBM_114019_DUR"	"Setophaga_graciae_UWBM_114046_DUR"	0.0113654
"1618"	"Setophaga_graciae_UWBM_114046_DUR"	"Setophaga_graciae_UWBM_114019_DUR"	0.0113654
"1894"	"Setophaga_graciae_UWBM_114090_CHIH"	"Setophaga_graciae_UWBM_114127_CHIH"	0.0113154
"2050"	"Setophaga_graciae_UWBM_114127_CHIH"	"Setophaga_graciae_UWBM_114090_CHIH"	0.0113154
"1622"	"Setophaga_graciae_UWBM_114046_DUR"	"Setophaga_graciae_UWBM_114047_DUR"	0.011315
"1674"	"Setophaga_graciae_UWBM_114047_DUR"	"Setophaga_graciae_UWBM_114046_DUR"	0.011315
"893"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_77653_ARI"	0.0113083
"2349"	"Setophaga_graciae_UWBM_77653_ARI"	"Setophaga_graciae_UWBM_111891_NM"	0.0113083
"496"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_112575_GUE"	0.0111637
"964"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_MSB_12905566_NM"	0.0111637
"650"	"Setophaga_graciae_UWBM_105736_ARI"	"Setophaga_graciae_UWBM_106758_NM"	0.0111455
"702"	"Setophaga_graciae_UWBM_106758_NM"	"Setophaga_graciae_UWBM_105736_ARI"	0.0111455
"1303"	"Setophaga_graciae_UWBM_113970_DUR"	"Setophaga_graciae_UWBM_114046_DUR"	0.0111071
"1615"	"Setophaga_graciae_UWBM_114046_DUR"	"Setophaga_graciae_UWBM_113970_DUR"	0.0111071
"1682"	"Setophaga_graciae_UWBM_114047_DUR"	"Setophaga_graciae_UWBM_114127_CHIH"	0.0110579
"2046"	"Setophaga_graciae_UWBM_114127_CHIH"	"Setophaga_graciae_UWBM_114047_DUR"	0.0110579
"444"	"Setophaga_graciae_MSB_12905565_NM"	"Setophaga_graciae_UWBM_112576_GUE"	0.0110351
"1016"	"Setophaga_graciae_UWBM_112576_GUE"	"Setophaga_graciae_MSB_12905565_NM"	0.0110351
"605"	"Setophaga_graciae_MSB_12905568_NM"	"Setophaga_graciae_UWBM_112592_GUE"	0.0109037
"1125"	"Setophaga_graciae_UWBM_112592_GUE"	"Setophaga_graciae_MSB_12905568_NM"	0.0109037
"2112"	"Setophaga_graciae_UWBM_114128_CHIH"	"Setophaga_graciae_UWBM_77653_ARI"	0.0109005
"2372"	"Setophaga_graciae_UWBM_77653_ARI"	"Setophaga_graciae_UWBM_114128_CHIH"	0.0109005
"626"	"Setophaga_graciae_MSB_12905568_NM"	"Setophaga_graciae_UWBM_115308_GUE"	0.0108635
"2238"	"Setophaga_graciae_UWBM_115308_GUE"	"Setophaga_graciae_MSB_12905568_NM"	0.0108635
"888"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_114128_CHIH"	0.0108274
"2084"	"Setophaga_graciae_UWBM_114128_CHIH"	"Setophaga_graciae_UWBM_111891_NM"	0.0108274
"390"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_112575_GUE"	0.0108248
"962"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_MSB_12905564_NM"	0.0108248
"1306"	"Setophaga_graciae_UWBM_113970_DUR"	"Setophaga_graciae_UWBM_114088_CHIH"	0.0107184
"1774"	"Setophaga_graciae_UWBM_114088_CHIH"	"Setophaga_graciae_UWBM_113970_DUR"	0.0107184
"393"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_112592_GUE"	0.010696
"1121"	"Setophaga_graciae_UWBM_112592_GUE"	"Setophaga_graciae_MSB_12905564_NM"	0.010696
"1734"	"Setophaga_graciae_UWBM_114087_CHIH"	"Setophaga_graciae_UWBM_114126_CHIH"	0.0106387
"1994"	"Setophaga_graciae_UWBM_114126_CHIH"	"Setophaga_graciae_UWBM_114087_CHIH"	0.0106387
"2648"	"Setophaga_graciae_UWBM_93806_CPN"	"Setophaga_graciae_UWBM_93807_CPN"	0.0106094
"2700"	"Setophaga_graciae_UWBM_93807_CPN"	"Setophaga_graciae_UWBM_93806_CPN"	0.0106094
"1735"	"Setophaga_graciae_UWBM_114087_CHIH"	"Setophaga_graciae_UWBM_114127_CHIH"	0.0105944
"2047"	"Setophaga_graciae_UWBM_114127_CHIH"	"Setophaga_graciae_UWBM_114087_CHIH"	0.0105944
"520"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_115308_GUE"	0.0105701
"2236"	"Setophaga_graciae_UWBM_115308_GUE"	"Setophaga_graciae_MSB_12905566_NM"	0.0105701
"731"	"Setophaga_graciae_UWBM_106758_NM"	"Setophaga_graciae_UWBM_114424_NEV"	0.0105039
"2187"	"Setophaga_graciae_UWBM_114424_NEV"	"Setophaga_graciae_UWBM_106758_NM"	0.0105039
"876"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_114019_DUR"	0.010484
"1448"	"Setophaga_graciae_UWBM_114019_DUR"	"Setophaga_graciae_UWBM_111891_NM"	0.010484
"1414"	"Setophaga_graciae_UWBM_114012_DUR"	"Setophaga_graciae_UWBM_114090_CHIH"	0.0104129
"1882"	"Setophaga_graciae_UWBM_114090_CHIH"	"Setophaga_graciae_UWBM_114012_DUR"	0.0104129
"1300"	"Setophaga_graciae_UWBM_113970_DUR"	"Setophaga_graciae_UWBM_114019_DUR"	0.0103907
"1456"	"Setophaga_graciae_UWBM_114019_DUR"	"Setophaga_graciae_UWBM_113970_DUR"	0.0103907
"1520"	"Setophaga_graciae_UWBM_114038_DUR"	"Setophaga_graciae_UWBM_114090_CHIH"	0.0103345
"1884"	"Setophaga_graciae_UWBM_114090_CHIH"	"Setophaga_graciae_UWBM_114038_DUR"	0.0103345
"878"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_114039_DUR"	0.0102999
"1554"	"Setophaga_graciae_UWBM_114039_DUR"	"Setophaga_graciae_UWBM_111891_NM"	0.0102999
"602"	"Setophaga_graciae_MSB_12905568_NM"	"Setophaga_graciae_UWBM_112575_GUE"	0.0102613
"966"	"Setophaga_graciae_UWBM_112575_GUE"	"Setophaga_graciae_MSB_12905568_NM"	0.0102613
"445"	"Setophaga_graciae_MSB_12905565_NM"	"Setophaga_graciae_UWBM_112587_GUE"	0.0102475
"1069"	"Setophaga_graciae_UWBM_112587_GUE"	"Setophaga_graciae_MSB_12905565_NM"	0.0102475
"1676"	"Setophaga_graciae_UWBM_114047_DUR"	"Setophaga_graciae_UWBM_114087_CHIH"	0.0102211
"1728"	"Setophaga_graciae_UWBM_114087_CHIH"	"Setophaga_graciae_UWBM_114047_DUR"	0.0102211
"886"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_114126_CHIH"	0.0102031
"1978"	"Setophaga_graciae_UWBM_114126_CHIH"	"Setophaga_graciae_UWBM_111891_NM"	0.0102031
"1464"	"Setophaga_graciae_UWBM_114019_DUR"	"Setophaga_graciae_UWBM_114087_CHIH"	0.0101777
"1724"	"Setophaga_graciae_UWBM_114087_CHIH"	"Setophaga_graciae_UWBM_114019_DUR"	0.0101777
"414"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_115308_GUE"	0.0101698
"2234"	"Setophaga_graciae_UWBM_115308_GUE"	"Setophaga_graciae_MSB_12905564_NM"	0.0101698
"314"	"Setophaga_graciae_KU_8199_SANA"	"Setophaga_graciae_UWBM_93805_CPN"	0.0100676
"2550"	"Setophaga_graciae_UWBM_93805_CPN"	"Setophaga_graciae_KU_8199_SANA"	0.0100676
"882"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_114088_CHIH"	0.0100099
"1766"	"Setophaga_graciae_UWBM_114088_CHIH"	"Setophaga_graciae_UWBM_111891_NM"	0.0100099
"1629"	"Setophaga_graciae_UWBM_114046_DUR"	"Setophaga_graciae_UWBM_114127_CHIH"	0.00997266
"2045"	"Setophaga_graciae_UWBM_114127_CHIH"	"Setophaga_graciae_UWBM_114046_DUR"	0.00997266
"1679"	"Setophaga_graciae_UWBM_114047_DUR"	"Setophaga_graciae_UWBM_114090_CHIH"	0.00995804
"1887"	"Setophaga_graciae_UWBM_114090_CHIH"	"Setophaga_graciae_UWBM_114047_DUR"	0.00995804
"1628"	"Setophaga_graciae_UWBM_114046_DUR"	"Setophaga_graciae_UWBM_114126_CHIH"	0.00991892
"1992"	"Setophaga_graciae_UWBM_114126_CHIH"	"Setophaga_graciae_UWBM_114046_DUR"	0.00991892
"1570"	"Setophaga_graciae_UWBM_114039_DUR"	"Setophaga_graciae_UWBM_114087_CHIH"	0.00984374
"1726"	"Setophaga_graciae_UWBM_114087_CHIH"	"Setophaga_graciae_UWBM_114039_DUR"	0.00984374
"1796"	"Setophaga_graciae_UWBM_114088_CHIH"	"Setophaga_graciae_UWBM_84639_ARI"	0.00976451
"2472"	"Setophaga_graciae_UWBM_84639_ARI"	"Setophaga_graciae_UWBM_114088_CHIH"	0.00976451
"877"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_114038_DUR"	0.00975404
"1501"	"Setophaga_graciae_UWBM_114038_DUR"	"Setophaga_graciae_UWBM_111891_NM"	0.00975404
"651"	"Setophaga_graciae_UWBM_105736_ARI"	"Setophaga_graciae_UWBM_106760_NM"	0.00968744
"755"	"Setophaga_graciae_UWBM_106760_NM"	"Setophaga_graciae_UWBM_105736_ARI"	0.00968744
"880"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_114047_DUR"	0.0096654
"1660"	"Setophaga_graciae_UWBM_114047_DUR"	"Setophaga_graciae_UWBM_111891_NM"	0.0096654
"895"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_84639_ARI"	0.00966372
"2455"	"Setophaga_graciae_UWBM_84639_ARI"	"Setophaga_graciae_UWBM_111891_NM"	0.00966372
"1573"	"Setophaga_graciae_UWBM_114039_DUR"	"Setophaga_graciae_UWBM_114090_CHIH"	0.00962076
"1885"	"Setophaga_graciae_UWBM_114090_CHIH"	"Setophaga_graciae_UWBM_114039_DUR"	0.00962076
"784"	"Setophaga_graciae_UWBM_106760_NM"	"Setophaga_graciae_UWBM_114424_NEV"	0.00959662
"2188"	"Setophaga_graciae_UWBM_114424_NEV"	"Setophaga_graciae_UWBM_106760_NM"	0.00959662
"678"	"Setophaga_graciae_UWBM_105736_ARI"	"Setophaga_graciae_UWBM_114424_NEV"	0.00946572
"2186"	"Setophaga_graciae_UWBM_114424_NEV"	"Setophaga_graciae_UWBM_105736_ARI"	0.00946572
"2649"	"Setophaga_graciae_UWBM_93806_CPN"	"Setophaga_graciae_UWBM_93808_CPN"	0.00930732
"2753"	"Setophaga_graciae_UWBM_93808_CPN"	"Setophaga_graciae_UWBM_93806_CPN"	0.00930732
"120"	"Setophaga_graciae_DMNS_52524_COL"	"Setophaga_graciae_UWBM_106758_NM"	0.00925114
"692"	"Setophaga_graciae_UWBM_106758_NM"	"Setophaga_graciae_DMNS_52524_COL"	0.00925114
"1050"	"Setophaga_graciae_UWBM_112576_GUE"	"Setophaga_graciae_UWBM_115308_GUE"	0.00923289
"2246"	"Setophaga_graciae_UWBM_115308_GUE"	"Setophaga_graciae_UWBM_112576_GUE"	0.00923289
"603"	"Setophaga_graciae_MSB_12905568_NM"	"Setophaga_graciae_UWBM_112576_GUE"	0.00901207
"1019"	"Setophaga_graciae_UWBM_112576_GUE"	"Setophaga_graciae_MSB_12905568_NM"	0.00901207
"1517"	"Setophaga_graciae_UWBM_114038_DUR"	"Setophaga_graciae_UWBM_114087_CHIH"	0.00888603
"1725"	"Setophaga_graciae_UWBM_114087_CHIH"	"Setophaga_graciae_UWBM_114038_DUR"	0.00888603
"1732"	"Setophaga_graciae_UWBM_114087_CHIH"	"Setophaga_graciae_UWBM_114090_CHIH"	0.00886956
"1888"	"Setophaga_graciae_UWBM_114090_CHIH"	"Setophaga_graciae_UWBM_114087_CHIH"	0.00886956
"2006"	"Setophaga_graciae_UWBM_114126_CHIH"	"Setophaga_graciae_UWBM_77653_ARI"	0.00883602
"2370"	"Setophaga_graciae_UWBM_77653_ARI"	"Setophaga_graciae_UWBM_114126_CHIH"	0.00883602
"1467"	"Setophaga_graciae_UWBM_114019_DUR"	"Setophaga_graciae_UWBM_114090_CHIH"	0.00877201
"1883"	"Setophaga_graciae_UWBM_114090_CHIH"	"Setophaga_graciae_UWBM_114019_DUR"	0.00877201
"1794"	"Setophaga_graciae_UWBM_114088_CHIH"	"Setophaga_graciae_UWBM_77653_ARI"	0.00874263
"2366"	"Setophaga_graciae_UWBM_77653_ARI"	"Setophaga_graciae_UWBM_114088_CHIH"	0.00874263
"1311"	"Setophaga_graciae_UWBM_113970_DUR"	"Setophaga_graciae_UWBM_114127_CHIH"	0.00869187
"2039"	"Setophaga_graciae_UWBM_114127_CHIH"	"Setophaga_graciae_UWBM_113970_DUR"	0.00869187
"391"	"Setophaga_graciae_MSB_12905564_NM"	"Setophaga_graciae_UWBM_112576_GUE"	0.00867575
"1015"	"Setophaga_graciae_UWBM_112576_GUE"	"Setophaga_graciae_MSB_12905564_NM"	0.00867575
"1305"	"Setophaga_graciae_UWBM_113970_DUR"	"Setophaga_graciae_UWBM_114087_CHIH"	0.00855563
"1721"	"Setophaga_graciae_UWBM_114087_CHIH"	"Setophaga_graciae_UWBM_113970_DUR"	0.00855563
"315"	"Setophaga_graciae_KU_8199_SANA"	"Setophaga_graciae_UWBM_93806_CPN"	0.00845124
"2603"	"Setophaga_graciae_UWBM_93806_CPN"	"Setophaga_graciae_KU_8199_SANA"	0.00845124
"1529"	"Setophaga_graciae_UWBM_114038_DUR"	"Setophaga_graciae_UWBM_77653_ARI"	0.00843165
"2361"	"Setophaga_graciae_UWBM_77653_ARI"	"Setophaga_graciae_UWBM_114038_DUR"	0.00843165
"887"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_114127_CHIH"	0.00830133
"2031"	"Setophaga_graciae_UWBM_114127_CHIH"	"Setophaga_graciae_UWBM_111891_NM"	0.00830133
"1423"	"Setophaga_graciae_UWBM_114012_DUR"	"Setophaga_graciae_UWBM_77653_ARI"	0.00823941
"2359"	"Setophaga_graciae_UWBM_77653_ARI"	"Setophaga_graciae_UWBM_114012_DUR"	0.00823941
"497"	"Setophaga_graciae_MSB_12905566_NM"	"Setophaga_graciae_UWBM_112576_GUE"	0.00823648
"1017"	"Setophaga_graciae_UWBM_112576_GUE"	"Setophaga_graciae_MSB_12905566_NM"	0.00823648
"758"	"Setophaga_graciae_UWBM_106760_NM"	"Setophaga_graciae_UWBM_108714_NEV"	0.00809097
"810"	"Setophaga_graciae_UWBM_108714_NEV"	"Setophaga_graciae_UWBM_106760_NM"	0.00809097
"1688"	"Setophaga_graciae_UWBM_114047_DUR"	"Setophaga_graciae_UWBM_77653_ARI"	0.00807936
"2364"	"Setophaga_graciae_UWBM_77653_ARI"	"Setophaga_graciae_UWBM_114047_DUR"	0.00807936
"604"	"Setophaga_graciae_MSB_12905568_NM"	"Setophaga_graciae_UWBM_112587_GUE"	0.00803947
"1072"	"Setophaga_graciae_UWBM_112587_GUE"	"Setophaga_graciae_MSB_12905568_NM"	0.00803947
"729"	"Setophaga_graciae_UWBM_106758_NM"	"Setophaga_graciae_UWBM_114128_CHIH"	0.00799811
"2081"	"Setophaga_graciae_UWBM_114128_CHIH"	"Setophaga_graciae_UWBM_106758_NM"	0.00799811
"2114"	"Setophaga_graciae_UWBM_114128_CHIH"	"Setophaga_graciae_UWBM_84639_ARI"	0.00783069
"2478"	"Setophaga_graciae_UWBM_84639_ARI"	"Setophaga_graciae_UWBM_114128_CHIH"	0.00783069
"873"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_113970_DUR"	0.00781215
"1289"	"Setophaga_graciae_UWBM_113970_DUR"	"Setophaga_graciae_UWBM_111891_NM"	0.00781215
"148"	"Setophaga_graciae_DMNS_52524_COL"	"Setophaga_graciae_UWBM_114424_NEV"	0.00776569
"2176"	"Setophaga_graciae_UWBM_114424_NEV"	"Setophaga_graciae_DMNS_52524_COL"	0.00776569
"1308"	"Setophaga_graciae_UWBM_113970_DUR"	"Setophaga_graciae_UWBM_114090_CHIH"	0.00776223
"1880"	"Setophaga_graciae_UWBM_114090_CHIH"	"Setophaga_graciae_UWBM_113970_DUR"	0.00776223
"62"	"Setophaga_graciae_CM_S9116_BEL"	"Setophaga_graciae_MSB_12905565_NM"	0.00771153
"426"	"Setophaga_graciae_MSB_12905565_NM"	"Setophaga_graciae_CM_S9116_BEL"	0.00771153
"1531"	"Setophaga_graciae_UWBM_114038_DUR"	"Setophaga_graciae_UWBM_84639_ARI"	0.00770785
"2467"	"Setophaga_graciae_UWBM_84639_ARI"	"Setophaga_graciae_UWBM_114038_DUR"	0.00770785
"1425"	"Setophaga_graciae_UWBM_114012_DUR"	"Setophaga_graciae_UWBM_84639_ARI"	0.00769964
"2465"	"Setophaga_graciae_UWBM_84639_ARI"	"Setophaga_graciae_UWBM_114012_DUR"	0.00769964
"676"	"Setophaga_graciae_UWBM_105736_ARI"	"Setophaga_graciae_UWBM_114128_CHIH"	0.0076944
"2080"	"Setophaga_graciae_UWBM_114128_CHIH"	"Setophaga_graciae_UWBM_105736_ARI"	0.0076944
"884"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_114090_CHIH"	0.00768795
"1872"	"Setophaga_graciae_UWBM_114090_CHIH"	"Setophaga_graciae_UWBM_111891_NM"	0.00768795
"663"	"Setophaga_graciae_UWBM_105736_ARI"	"Setophaga_graciae_UWBM_114012_DUR"	0.00749137
"1391"	"Setophaga_graciae_UWBM_114012_DUR"	"Setophaga_graciae_UWBM_105736_ARI"	0.00749137
"881"	"Setophaga_graciae_UWBM_111891_NM"	"Setophaga_graciae_UWBM_114087_CHIH"	0.00747164
"1713"	"Setophaga_graciae_UWBM_114087_CHIH"	"Setophaga_graciae_UWBM_111891_NM"	0.00747164
"1354"	"Setophaga_graciae_UWBM_114011_DUR"	"Setophaga_graciae_UWBM_114038_DUR"	0.00745995
"1510"	"Setophaga_graciae_UWBM_114038_DUR"	"Setophaga_graciae_UWBM_114011_DUR"	0.00745995
"2059"	"Setophaga_graciae_UWBM_114127_CHIH"	"Setophaga_graciae_UWBM_77653_ARI"	0.00744482
"2371"	"Setophaga_graciae_UWBM_77653_ARI"	"Setophaga_graciae_UWBM_114127_CHIH"	0.00744482
"705"	"Setophaga_graciae_UWBM_106758_NM"	"Setophaga_graciae_UWBM_108714_NEV"	0.00739771
"809"	"Setophaga_graciae_UWBM_108714_NEV"	"Setophaga_graciae_UWBM_106758_NM"	0.00739771
"1626"	"Setophaga_graciae_UWBM_114046_DUR"	"Setophaga_graciae_UWBM_114090_CHIH"	0.00738928
