VCF	Setophaga_graciae_CM_S10255_BEL_total_sites	Setophaga_graciae_CM_S9116_BEL_total_sites	Setophaga_graciae_DMNS_52524_COL_total_sites	Setophaga_graciae_KU_33633_RACN_total_sites	Setophaga_graciae_KU_33634_RACN_total_sites	Setophaga_graciae_KU_8199_SANA_total_sites	Setophaga_graciae_KU_8218_SANA_total_sites	Setophaga_graciae_UWBM_105736_ARI_total_sites	Setophaga_graciae_UWBM_106758_NM_total_sites	Setophaga_graciae_UWBM_106760_NM_total_sites	Setophaga_graciae_UWBM_108714_NEV_total_sites	Setophaga_graciae_UWBM_111891_NM_total_sites	Setophaga_graciae_UWBM_111896_NM_total_sites	Setophaga_graciae_UWBM_112575_GUE_total_sites	Setophaga_graciae_UWBM_112576_GUE_total_sites	Setophaga_graciae_UWBM_112587_GUE_total_sites	Setophaga_graciae_UWBM_112592_GUE_total_sites	Setophaga_graciae_UWBM_113059_CHI_total_sites	Setophaga_graciae_UWBM_113126_CHI_total_sites	Setophaga_graciae_UWBM_113970_DUR_total_sites	Setophaga_graciae_UWBM_114011_DUR_total_sites	Setophaga_graciae_UWBM_114012_DUR_total_sites	Setophaga_graciae_UWBM_114019_DUR_total_sites	Setophaga_graciae_UWBM_114038_DUR_total_sites	Setophaga_graciae_UWBM_114039_DUR_total_sites	Setophaga_graciae_UWBM_114046_DUR_total_sites	Setophaga_graciae_UWBM_114047_DUR_total_sites	Setophaga_graciae_UWBM_114087_CHIH_total_sites	Setophaga_graciae_UWBM_114088_CHIH_total_sites	Setophaga_graciae_UWBM_114090_CHIH_total_sites	Setophaga_graciae_UWBM_114091_CHIH_total_sites	Setophaga_graciae_UWBM_114126_CHIH_total_sites	Setophaga_graciae_UWBM_114127_CHIH_total_sites	Setophaga_graciae_UWBM_114128_CHIH_total_sites	Setophaga_graciae_UWBM_114282_NEV_total_sites	Setophaga_graciae_UWBM_114424_NEV_total_sites	Setophaga_graciae_UWBM_115308_GUE_total_sites	Setophaga_graciae_UWBM_69981_PCA_total_sites	Setophaga_graciae_UWBM_77653_ARI_total_sites	Setophaga_graciae_UWBM_77735_ARI_total_sites	Setophaga_graciae_UWBM_84639_ARI_total_sites	Setophaga_graciae_UWBM_93801_CPN_total_sites	Setophaga_graciae_UWBM_93805_CPN_total_sites	Setophaga_graciae_UWBM_93806_CPN_total_sites	Setophaga_graciae_UWBM_93807_CPN_total_sites	Setophaga_graciae_UWBM_93808_CPN_total_sites	Setophaga_graciae_UWBM_95850_ARI_total_sites	Setophaga_graciae_CM_S10255_BEL_het_sites	Setophaga_graciae_CM_S9116_BEL_het_sites	Setophaga_graciae_DMNS_52524_COL_het_sites	Setophaga_graciae_KU_33633_RACN_het_sites	Setophaga_graciae_KU_33634_RACN_het_sites	Setophaga_graciae_KU_8199_SANA_het_sites	Setophaga_graciae_KU_8218_SANA_het_sites	Setophaga_graciae_UWBM_105736_ARI_het_sites	Setophaga_graciae_UWBM_106758_NM_het_sites	Setophaga_graciae_UWBM_106760_NM_het_sites	Setophaga_graciae_UWBM_108714_NEV_het_sites	Setophaga_graciae_UWBM_111891_NM_het_sites	Setophaga_graciae_UWBM_111896_NM_het_sites	Setophaga_graciae_UWBM_112575_GUE_het_sites	Setophaga_graciae_UWBM_112576_GUE_het_sites	Setophaga_graciae_UWBM_112587_GUE_het_sites	Setophaga_graciae_UWBM_112592_GUE_het_sites	Setophaga_graciae_UWBM_113059_CHI_het_sites	Setophaga_graciae_UWBM_113126_CHI_het_sites	Setophaga_graciae_UWBM_113970_DUR_het_sites	Setophaga_graciae_UWBM_114011_DUR_het_sites	Setophaga_graciae_UWBM_114012_DUR_het_sites	Setophaga_graciae_UWBM_114019_DUR_het_sites	Setophaga_graciae_UWBM_114038_DUR_het_sites	Setophaga_graciae_UWBM_114039_DUR_het_sites	Setophaga_graciae_UWBM_114046_DUR_het_sites	Setophaga_graciae_UWBM_114047_DUR_het_sites	Setophaga_graciae_UWBM_114087_CHIH_het_sites	Setophaga_graciae_UWBM_114088_CHIH_het_sites	Setophaga_graciae_UWBM_114090_CHIH_het_sites	Setophaga_graciae_UWBM_114091_CHIH_het_sites	Setophaga_graciae_UWBM_114126_CHIH_het_sites	Setophaga_graciae_UWBM_114127_CHIH_het_sites	Setophaga_graciae_UWBM_114128_CHIH_het_sites	Setophaga_graciae_UWBM_114282_NEV_het_sites	Setophaga_graciae_UWBM_114424_NEV_het_sites	Setophaga_graciae_UWBM_115308_GUE_het_sites	Setophaga_graciae_UWBM_69981_PCA_het_sites	Setophaga_graciae_UWBM_77653_ARI_het_sites	Setophaga_graciae_UWBM_77735_ARI_het_sites	Setophaga_graciae_UWBM_84639_ARI_het_sites	Setophaga_graciae_UWBM_93801_CPN_het_sites	Setophaga_graciae_UWBM_93805_CPN_het_sites	Setophaga_graciae_UWBM_93806_CPN_het_sites	Setophaga_graciae_UWBM_93807_CPN_het_sites	Setophaga_graciae_UWBM_93808_CPN_het_sites	Setophaga_graciae_UWBM_95850_ARI_het_sites
CM027535.1__b.g.vcf.dataset4.vcf.simple.vcf	226535	117733	897844	903708	548207	533121	226754	899040	874745	906906	906835	907592	873557	452634	901668	665593	867905	614310	791821	873474	887324	860013	905085	888761	577995	562046	892415	881825	873207	835709	875291	883701	905132	880751	890006	899392	892812	902008	900503	818958	898936	555438	864532	443760	292026	894599	729119	2238	1392	6136	5210	5021	5562	3688	6081	5639	5661	6021	5852	6161	5015	5975	4492	5784	6036	5034	5729	6106	5902	5683	5872	5424	5509	5831	6166	5651	5506	5771	6183	6296	5730	6071	6604	5829	5503	5800	5188	6567	5414	5132	5070	4191	5887	6024
CM027535.1__c.g.vcf.dataset4.vcf.simple.vcf	270426	136489	1048886	1054739	626199	600453	255870	1047911	1026013	1058767	1058353	1059476	1025345	545801	1051996	769302	1013134	708654	923544	1023443	1037573	1012528	1057486	1042118	656646	642333	1042726	1029466	1019533	976011	1019465	1034270	1056799	1022324	1039772	1050698	1043178	1053026	1050637	953828	1052109	626189	1014964	496884	326630	1044020	859124	2279	1226	6130	4660	3365	3557	2689	6018	5793	5788	6012	5805	5835	3288	6409	4562	6184	3978	5020	5867	6069	6094	6367	6084	3639	3360	5914	6168	5746	5629	5439	6110	6473	5766	6179	6097	5753	5251	6118	5482	6206	3627	5512	3391	2875	5494	4155
CM027535.1__d.g.vcf.dataset4.vcf.simple.vcf	233951	122882	973404	979663	591846	572972	215309	972577	947148	983282	982293	983916	944292	505477	976692	694971	940270	652652	859398	947895	965604	937534	982028	967109	614822	601551	968417	955595	946281	897847	948897	961596	981848	952343	965493	975448	968336	977136	976106	890272	976014	576937	942872	461222	301432	971205	788237	1704	1061	5453	4468	3645	3620	2409	5820	4916	5111	5705	5672	5446	3278	5394	4011	5471	4193	4656	5203	5325	5203	5642	5138	3747	3344	5443	5663	5359	4980	5301	5278	5809	5391	5447	5684	5448	4693	5208	4892	5776	3941	5068	3342	2523	5203	4238
CM027535.1__e.g.vcf.dataset4.vcf.simple.vcf	229193	120032	962949	970084	590914	563306	218414	964206	939583	973537	973149	974061	937092	490279	966663	696789	931017	652529	850455	937263	954792	928126	971761	957373	608059	589003	957896	945673	938031	888907	938293	951426	972020	942018	957376	963405	958544	967310	966301	880524	966795	578764	932808	450245	302719	960329	780883	1582	852	5260	4172	4158	4015	2628	5060	4855	4703	5191	5033	5199	3682	5100	3641	5013	4497	4316	4803	4684	5138	5318	5131	4174	3731	4791	5297	4878	4753	4731	5337	5064	4585	5149	5251	4870	3441	5069	4672	4942	4115	4411	3586	3135	4926	4929
CM027535.1__f.g.vcf.dataset4.vcf.simple.vcf	263128	142940	1126009	1134644	718243	652493	250702	1126761	1104568	1138110	1137517	1138522	1089397	593620	1128654	798945	1085102	766571	994346	1098379	1117992	1088525	1136080	1120745	711002	689178	1123156	1108488	1097102	1043036	1100128	1112072	1136129	1099885	1117487	1127568	1122721	1130303	1129702	1028827	1129742	648182	1093260	526498	347168	1124961	920392	1873	1087	5797	4509	4307	4486	2807	6130	5398	5447	5894	5374	5731	3944	5673	4042	6057	5096	5252	5712	5889	5633	5968	5687	4619	4238	5424	5825	5338	5564	5326	5770	5805	5610	6082	5885	5768	4933	5711	5507	6090	4398	5290	3907	3156	5502	4928
CM027535.1__g.g.vcf.dataset4.vcf.simple.vcf	347195	180551	1390645	1400241	847894	775310	395515	1390234	1369575	1405360	1404932	1405945	1364336	824843	1397314	1003352	1341526	972797	1221443	1366738	1382784	1353292	1403744	1386629	855133	872332	1385272	1371827	1358370	1304932	1362656	1378797	1402306	1353910	1383138	1393224	1388768	1397743	1395337	1236277	1396538	836575	1356247	674307	489497	1388351	1169801	1891	1417	6096	4544	7338	6559	4393	6156	5570	5623	6184	5954	5878	6777	5906	4314	6054	7727	4975	5471	5865	5901	6189	5941	7023	6335	5782	5708	5889	5624	5820	5813	6231	5981	5982	5883	5637	5337	5789	5262	6154	6874	5334	6176	5207	5279	8125
CM027535.1__h.g.vcf.dataset4.vcf.simple.vcf	162592	84432	813142	822190	615901	600132	398017	807734	795864	827787	826739	828196	794520	621037	820629	529249	760485	677098	664013	785266	805003	786422	826528	814871	618794	639503	814971	801356	786115	742736	790196	802740	822921	781814	805247	814094	815166	818024	814248	675317	821220	629149	787667	541129	449750	815589	740181	758	379	3696	2754	4608	4846	3413	3876	3559	3778	3745	3542	3734	4613	3647	2106	3543	5516	3237	3459	3604	3705	3874	3392	4920	4952	3743	3556	3335	3612	3195	3285	3547	3090	3814	3736	3511	3159	3548	2945	3495	4889	3307	4329	3355	3917	5476
CM027536.1__a.g.vcf.dataset4.vcf.simple.vcf	751759	346528	6048055	6203291	5799594	5939939	4479320	6111384	5677496	6337172	6323150	6355210	5867184	5675822	6241389	3548580	5619499	6122951	4497237	5653337	5905073	5511799	6283265	5939054	6049659	6064024	5959862	5758382	5682259	5289638	5704117	5835271	6270360	5863366	5921865	6202508	6006361	6223734	6147623	4671392	6156510	6039440	5542890	5664131	4881982	6010261	6254501	4677	2125	40441	32497	29032	37929	27337	41584	36294	42359	41383	43508	39718	37048	40774	22152	36963	38956	29073	38290	39976	38058	42337	38549	41697	38218	38495	38737	36503	34652	36033	38942	43446	38779	39940	42115	40073	32994	40110	30530	41117	36850	33957	34329	30515	36068	41344
CM027536.1__b.g.vcf.dataset4.vcf.simple.vcf	800000	364632	6946146	7150536	6826558	6813050	4600152	6984879	6453563	7233959	7215521	7254863	6436606	6405417	7084785	3780724	6377596	6963993	5152910	6451223	6790075	6279202	7176171	6758299	6943786	6910048	6848526	6545989	6501080	5812083	6543453	6662870	7178087	6615949	6759411	7054369	6825187	7071341	7047690	5548822	7018297	6866111	6305586	6490753	5535102	6873959	7141431	4145	1999	38562	30818	27330	34455	23708	38508	34803	39387	40738	40544	35311	35092	37711	19191	34611	37738	26316	36078	37312	35485	39808	36542	37716	38425	37190	36780	35291	31748	35905	37205	40950	36196	37951	40063	38008	30903	39065	29795	38100	34846	32085	32741	25885	34424	41118
CM027536.1__c.g.vcf.dataset4.vcf.simple.vcf	795476	355220	6964528	7175352	6842588	6819988	4590613	7005856	6448627	7255670	7238688	7278605	6458119	6426236	7115850	3888925	6381058	6972556	5159710	6378775	6820056	6279263	7197614	6787421	6964929	6920840	6893243	6572359	6500728	5804355	6565506	6695081	7205536	6639133	6799199	7055061	6857043	7092608	7082324	5529169	7031787	6882302	6308318	6524451	5519984	6904588	7171545	3663	1712	36457	30645	28540	33932	21868	37772	32777	37296	38633	38622	34401	33112	35345	18904	32470	35405	24792	33569	36007	33760	37908	35230	37272	36715	36110	34412	33836	30335	33616	35786	38336	34792	33459	38684	34554	29018	36680	27855	37587	30605	29655	31238	26293	33973	37858
