VCF	Setophaga_graciae_CM_S10255_BEL_total_sites	Setophaga_graciae_CM_S9116_BEL_total_sites	Setophaga_graciae_DMNS_52524_COL_total_sites	Setophaga_graciae_KU_33633_RACN_total_sites	Setophaga_graciae_KU_33634_RACN_total_sites	Setophaga_graciae_KU_8199_SANA_total_sites	Setophaga_graciae_KU_8218_SANA_total_sites	Setophaga_graciae_UWBM_105736_ARI_total_sites	Setophaga_graciae_UWBM_106758_NM_total_sites	Setophaga_graciae_UWBM_106760_NM_total_sites	Setophaga_graciae_UWBM_108714_NEV_total_sites	Setophaga_graciae_UWBM_111891_NM_total_sites	Setophaga_graciae_UWBM_111896_NM_total_sites	Setophaga_graciae_UWBM_112575_GUE_total_sites	Setophaga_graciae_UWBM_112576_GUE_total_sites	Setophaga_graciae_UWBM_112587_GUE_total_sites	Setophaga_graciae_UWBM_112592_GUE_total_sites	Setophaga_graciae_UWBM_113059_CHI_total_sites	Setophaga_graciae_UWBM_113126_CHI_total_sites	Setophaga_graciae_UWBM_113970_DUR_total_sites	Setophaga_graciae_UWBM_114011_DUR_total_sites	Setophaga_graciae_UWBM_114012_DUR_total_sites	Setophaga_graciae_UWBM_114019_DUR_total_sites	Setophaga_graciae_UWBM_114038_DUR_total_sites	Setophaga_graciae_UWBM_114039_DUR_total_sites	Setophaga_graciae_UWBM_114046_DUR_total_sites	Setophaga_graciae_UWBM_114047_DUR_total_sites	Setophaga_graciae_UWBM_114087_CHIH_total_sites	Setophaga_graciae_UWBM_114088_CHIH_total_sites	Setophaga_graciae_UWBM_114090_CHIH_total_sites	Setophaga_graciae_UWBM_114091_CHIH_total_sites	Setophaga_graciae_UWBM_114126_CHIH_total_sites	Setophaga_graciae_UWBM_114127_CHIH_total_sites	Setophaga_graciae_UWBM_114128_CHIH_total_sites	Setophaga_graciae_UWBM_114282_NEV_total_sites	Setophaga_graciae_UWBM_114424_NEV_total_sites	Setophaga_graciae_UWBM_115308_GUE_total_sites	Setophaga_graciae_UWBM_69981_PCA_total_sites	Setophaga_graciae_UWBM_77653_ARI_total_sites	Setophaga_graciae_UWBM_77735_ARI_total_sites	Setophaga_graciae_UWBM_84639_ARI_total_sites	Setophaga_graciae_UWBM_93801_CPN_total_sites	Setophaga_graciae_UWBM_93805_CPN_total_sites	Setophaga_graciae_UWBM_93806_CPN_total_sites	Setophaga_graciae_UWBM_93807_CPN_total_sites	Setophaga_graciae_UWBM_93808_CPN_total_sites	Setophaga_graciae_UWBM_95850_ARI_total_sites	Setophaga_graciae_CM_S10255_BEL_het_sites	Setophaga_graciae_CM_S9116_BEL_het_sites	Setophaga_graciae_DMNS_52524_COL_het_sites	Setophaga_graciae_KU_33633_RACN_het_sites	Setophaga_graciae_KU_33634_RACN_het_sites	Setophaga_graciae_KU_8199_SANA_het_sites	Setophaga_graciae_KU_8218_SANA_het_sites	Setophaga_graciae_UWBM_105736_ARI_het_sites	Setophaga_graciae_UWBM_106758_NM_het_sites	Setophaga_graciae_UWBM_106760_NM_het_sites	Setophaga_graciae_UWBM_108714_NEV_het_sites	Setophaga_graciae_UWBM_111891_NM_het_sites	Setophaga_graciae_UWBM_111896_NM_het_sites	Setophaga_graciae_UWBM_112575_GUE_het_sites	Setophaga_graciae_UWBM_112576_GUE_het_sites	Setophaga_graciae_UWBM_112587_GUE_het_sites	Setophaga_graciae_UWBM_112592_GUE_het_sites	Setophaga_graciae_UWBM_113059_CHI_het_sites	Setophaga_graciae_UWBM_113126_CHI_het_sites	Setophaga_graciae_UWBM_113970_DUR_het_sites	Setophaga_graciae_UWBM_114011_DUR_het_sites	Setophaga_graciae_UWBM_114012_DUR_het_sites	Setophaga_graciae_UWBM_114019_DUR_het_sites	Setophaga_graciae_UWBM_114038_DUR_het_sites	Setophaga_graciae_UWBM_114039_DUR_het_sites	Setophaga_graciae_UWBM_114046_DUR_het_sites	Setophaga_graciae_UWBM_114047_DUR_het_sites	Setophaga_graciae_UWBM_114087_CHIH_het_sites	Setophaga_graciae_UWBM_114088_CHIH_het_sites	Setophaga_graciae_UWBM_114090_CHIH_het_sites	Setophaga_graciae_UWBM_114091_CHIH_het_sites	Setophaga_graciae_UWBM_114126_CHIH_het_sites	Setophaga_graciae_UWBM_114127_CHIH_het_sites	Setophaga_graciae_UWBM_114128_CHIH_het_sites	Setophaga_graciae_UWBM_114282_NEV_het_sites	Setophaga_graciae_UWBM_114424_NEV_het_sites	Setophaga_graciae_UWBM_115308_GUE_het_sites	Setophaga_graciae_UWBM_69981_PCA_het_sites	Setophaga_graciae_UWBM_77653_ARI_het_sites	Setophaga_graciae_UWBM_77735_ARI_het_sites	Setophaga_graciae_UWBM_84639_ARI_het_sites	Setophaga_graciae_UWBM_93801_CPN_het_sites	Setophaga_graciae_UWBM_93805_CPN_het_sites	Setophaga_graciae_UWBM_93806_CPN_het_sites	Setophaga_graciae_UWBM_93807_CPN_het_sites	Setophaga_graciae_UWBM_93808_CPN_het_sites	Setophaga_graciae_UWBM_95850_ARI_het_sites
CM027507.1__a.g.vcf.dataset4.vcf.simple.vcf	764837	346509	6333043	6539337	6182210	6245769	4633014	6406237	5898204	6644193	6628058	6665508	6141672	5888377	6547836	3708645	5875359	6395611	4692656	5903475	6189201	5759815	6581456	6181574	6341479	6343287	6210600	6013274	5929638	5523011	5957405	6087552	6589825	6150031	6211669	6514836	6231711	6528320	6448813	4847624	6456722	6346025	5750703	5953458	5113047	6268410	6552918	4766	2272	46069	36094	32930	42094	30892	47755	41618	49669	49133	49954	45414	41897	47333	25386	43108	45619	32779	42751	46105	41889	48388	45865	48612	46725	44560	44581	43214	41009	43224	44622	49023	45502	18181	49212	45536	37672	48314	34835	48865	42127	38279	40215	33936	41499	49058
CM027507.1__b.g.vcf.dataset4.vcf.simple.vcf	824770	368465	6536166	6730208	6382765	6423000	4568576	6592492	6093746	6832001	6817513	6851408	6227201	6063877	6712681	3740289	6057497	6582068	4868348	6057534	6401126	5898758	6774398	6386102	6551456	6535217	6465455	6202208	6125275	5614051	6154933	6307853	6774110	6314005	6393960	6673971	6455109	6697378	6649052	5121422	6631060	6514013	5934859	6144135	5209196	6493858	6746796	5268	2490	33590	25365	25440	31137	22383	33484	28755	34762	37281	34219	32343	31641	33976	18559	31312	33212	23748	30752	33570	30647	35061	32031	33800	34832	33409	32601	31209	28596	30467	33409	35791	30715	33019	34249	32449	27803	31359	26362	33879	31261	28148	25389	26115	30211	34295
CM027507.1__c.g.vcf.dataset4.vcf.simple.vcf	1064547	488848	7579278	7773808	7348947	7437309	5576395	7648221	7191560	7911028	7891854	7926006	7369708	7174094	7784975	4469405	7054832	7641945	5647244	7175950	7424759	6977705	7859367	7477664	7582652	7611394	7511166	7281371	7160711	6691172	7163751	7357418	7850005	7336656	7453021	7739905	7556457	7750305	7688122	5966232	7716711	7583808	7000865	7187137	6141515	7545580	7820573	3891	1983	25396	22096	18264	19235	16983	25293	22387	25239	25024	26530	24808	25012	27313	14727	21608	25027	16268	24948	24580	24048	25895	26031	25855	23579	24902	23790	24375	22404	23270	25260	26364	23524	25007	26398	23291	20845	24214	20292	25033	23747	19487	16334	19397	24138	26083
CM027507.1__d.g.vcf.dataset4.vcf.simple.vcf	798739	365077	6606471	6796323	6400045	6506292	4601071	6677380	6071176	6914175	6900867	6939345	6311282	6042205	6809930	3884535	6120022	6633564	4854554	6093322	6406247	5915905	6842556	6397834	6630770	6595691	6463353	6202337	6163119	5693703	6175388	6324414	6871179	6408864	6457466	6771313	6469746	6769642	6714313	5185135	6701602	6610355	5919809	6217785	5218002	6528501	6815211	4132	1982	39594	30151	27174	34229	23758	39458	35091	40740	40951	42159	37153	34040	39379	21105	35527	34201	25895	35994	38122	35759	41253	37032	39643	38687	37396	35713	35403	32610	34209	37355	41747	37666	37619	39627	36902	30339	38170	30467	39838	36165	30119	33162	27880	34440	40331
CM027507.1__e.g.vcf.dataset4.vcf.simple.vcf	890059	400400	7005233	7218632	6869957	6870333	4922590	7070806	6558982	7328587	7304848	7346024	6669123	6481123	7209648	4049002	6499497	7041936	5181610	6514219	6820585	6314627	7260915	6834856	7027068	7001823	6910602	6630970	6569400	6012285	6539104	6730853	7269691	6736255	6844762	7164216	6905060	7164900	7107823	5562598	7111674	6984799	6349693	6608573	5556165	6956013	7221444	4258	1659	34230	25468	24761	31633	21910	35447	31957	37027	34807	37988	33707	30929	35964	18716	31570	33875	24784	32377	34863	33551	36533	34918	37120	35909	33907	33483	33243	30495	32572	34104	37693	33401	27253	34989	33974	28937	36156	28065	36403	31417	28421	29562	25418	30279	37414
CM027507.1__f.g.vcf.dataset4.vcf.simple.vcf	622159	289797	5049039	5199248	4961152	4946198	3487096	5082532	4751285	5265224	5250913	5278405	4761422	4676634	5153691	2755749	4643100	5077536	3753347	4702255	4935245	4580968	5224759	4958820	5057181	5039841	4990638	4801924	4731128	4242756	4740697	4871658	5226426	4842098	4929245	5136902	4983943	5161759	5124928	4038185	5125240	5015119	4602477	4729819	4033009	5007172	5201151	2678	1140	23153	17946	17750	21500	15524	23662	20868	23494	24774	25515	22142	21698	24631	11269	21668	24204	16474	22925	22917	21807	23589	23556	23406	23835	20783	22591	21562	19730	22410	23644	22957	22946	22446	24488	21037	18451	25625	17785	25062	21078	19864	19426	18427	21817	23735
CM027507.1b__a.g.vcf.dataset4.vcf.simple.vcf	701157	294432	6347322	6524988	6182981	6214797	4348216	6417552	5778687	6625614	6619186	6654496	6009781	5723437	6525658	3671242	5820509	6340675	4644753	5742523	6150797	5602786	6563288	6116997	6352091	6303678	6227390	5921752	5900346	5380018	5966148	6042519	6581752	6170629	6171459	6482067	6187121	6499979	6457875	5044877	6398570	6305938	5629311	5897713	4916269	6249108	6531336	3756	1370	34554	27117	26947	30392	21633	36154	31084	36079	37277	37672	32814	30844	35283	18848	32241	32406	23352	31560	33784	32173	35777	32896	35573	34632	34731	33749	31822	29609	32734	34064	34797	33304	34790	36038	34213	28968	35598	27154	35141	31741	27601	28313	24231	31198	34799
CM027507.1b__b.g.vcf.dataset4.vcf.simple.vcf	683234	305307	6254059	6421906	6066670	6143574	4223520	6319273	5688670	6529311	6521832	6559054	5889327	5691861	6435213	3605876	5768120	6265807	4569917	5720898	6082188	5556232	6470373	6031933	6261363	6215600	6145402	5863740	5822675	5295184	5888482	5955868	6487752	6060510	6088116	6385237	6111067	6398991	6357236	4932214	6305228	6222163	5575322	5843601	4899075	6176337	6440848	4193	1866	39647	29947	31168	36544	21343	41456	34934	41672	42102	42906	37830	36521	41962	21201	35938	38796	27291	37037	39593	35703	41003	38089	40743	40262	38439	38628	36860	34030	36029	38223	42972	38776	38653	41008	39020	32503	39519	30991	41297	37029	32564	34717	29184	36477	43479
CM027507.1b__c.g.vcf.dataset4.vcf.simple.vcf	828528	368829	6939047	7126538	6743314	6800865	4797547	7002126	6396709	7241821	7229124	7264571	6590106	6349064	7111974	3951342	6402097	6968871	5108536	6423178	6769427	6218064	7182552	6751332	6947117	6917613	6823418	6553706	6491765	5942769	6541238	6639559	7182540	6714856	6778997	7086847	6820129	7098243	7044418	5534351	7022556	6906482	6246433	6505272	5457648	6861471	7148678	3459	1392	32279	26028	24324	28622	20232	33374	28975	35113	33972	34580	32130	29364	33588	16353	28796	31488	21317	30809	33210	29914	33116	32302	33783	32570	31950	30434	30275	27511	1416	31430	33861	30565	31790	34549	30904	27811	32453	26009	30776	29596	25897	24856	24134	29389	33936
CM027507.1b__d.g.vcf.dataset4.vcf.simple.vcf	810415	369556	6854777	7062002	6724893	6711754	4736910	6920051	6385840	7154476	7142063	7177543	6465243	6355871	7022313	3849994	6316484	6888401	5082221	6341251	6679461	6179636	7095521	6693725	6851322	6830352	6767143	6470447	6417462	5793883	6489820	6573574	7096279	6579308	6679022	6982929	6746768	7014709	6964405	5420700	6943820	6807274	6177314	6413549	5437348	6783499	7061170	4096	1522	35595	23971	23434	31919	21814	36273	30870	36851	35555	33689	33751	32557	34830	18017	32599	33459	25248	33195	34920	32936	37319	34329	36029	36646	34398	34218	32675	29567	2209	34824	37598	33497	35056	37371	33156	27488	36072	27075	37028	31775	28390	29870	24960	30206	37377
CM027507.1b__e.g.vcf.dataset4.vcf.simple.vcf	826030	378014	6954003	7172764	6829758	6832717	4893756	7022784	6496033	7270898	7254258	7290700	6599525	6496584	7144316	4028165	6416969	7011385	5159052	6440206	6836217	6314261	7214485	6824656	6965918	6942518	6910935	6630640	6531497	5938768	6582208	6724785	7213491	6701547	6812523	7090469	6884855	7129387	7072914	5481237	7046107	6919337	6377703	6527981	5555492	6930632	7176755	4609	1850	37986	29125	28530	34248	24191	37608	34539	38593	39752	39590	35352	35180	38591	19267	34076	36216	25710	35030	36547	34225	39008	35801	37626	37311	36111	35498	35056	30958	25146	36944	39714	34618	36593	38422	36598	30498	37883	27976	39070	33710	27966	31534	27896	34289	37885
CM027507.1b__f.g.vcf.dataset4.vcf.simple.vcf	512258	241917	3822330	3918995	3664124	3760114	2875528	3864572	3675731	4022580	4011374	4030947	3752003	3671381	3953296	2143395	3565468	3898383	2886061	3651281	3781890	3556431	3993654	3804142	3827267	3855591	3809313	3699292	3618252	3401743	3621189	3734152	3971764	3716025	3772130	3936115	3836619	3951492	3886024	2898026	3927738	3836246	3565034	3602440	3132128	3829306	3973565	3735	1984	27256	21552	21007	25599	19484	27344	24248	27558	29176	29059	21478	25456	27537	14724	25044	26845	20164	25778	27120	25317	27865	26856	26894	26581	27016	27463	25271	23839	24568	26741	28394	26221	27572	28557	27097	23715	27208	20111	27900	25642	23914	23709	21823	25666	28069
CM027508.1__a.g.vcf.dataset4.vcf.simple.vcf	774896	358101	5875144	6018824	5638495	5767343	4448996	5940512	5550682	6168103	6151587	6183638	5752454	5612579	6076576	3443067	5460544	5966984	4392634	5550825	5792444	5438374	6117930	5809705	5878905	5907268	5829058	5670109	5561489	5222380	5543265	5721381	6098476	5687076	5782021	6033974	5866455	6057825	5975729	4477156	6012756	5883624	5450585	5557030	4774042	5868735	6094340	5245	2428	43325	32196	30755	38832	29675	43489	38934	45445	44747	45472	43532	40060	44159	21480	39256	41267	29201	40808	42100	40314	44689	42552	43564	41913	42034	42345	39537	38239	39181	42623	45057	40977	42230	44661	40906	36628	42842	31156	43198	36125	35862	36336	30443	37973	39404
CM027508.1__b.g.vcf.dataset4.vcf.simple.vcf	879019	419767	7271692	7499921	7203005	7126209	4887276	7306238	6821088	7582096	7564099	7599907	6790067	6782219	7408645	4025804	6677680	7309516	5389912	6746235	7161771	6614791	7528694	7161155	7269956	7253236	7238295	6938212	6832628	6107544	6871876	7034954	7517886	6945137	7106975	7368903	7200421	7411956	7396535	5859541	7376542	7194736	6690393	6812533	5840507	7238253	7496520	3891	1817	35564	28789	27665	32348	21897	37097	32146	36739	36662	39132	32483	33460	36176	1564	31209	35773	24989	33384	36102	34056	38292	35055	36847	34518	35529	33735	32427	29789	33492	34792	38034	34316	34551	34487	33668	29633	34887	28879	36745	31769	30306	28261	25889	32873	38203
CM027508.1__c.g.vcf.dataset4.vcf.simple.vcf	803117	358699	6953950	7160716	6821272	6809663	4654122	6999806	6438981	7248476	7230726	7272504	6482789	6400829	7104015	3913488	6392815	6961860	5137167	6388366	6797312	6222899	7195689	6779194	6965250	6924276	6882216	6547231	6487379	5821476	6542877	6664071	7198480	6650716	6760104	7069842	6845623	7079447	7058909	5608212	7019479	6887698	6294152	6506642	5504510	6885445	7156096	3593	1573	35306	26858	25302	31147	21660	35287	31189	37115	36471	36734	31916	30225	34096	12715	31823	32617	23964	33145	34829	31969	37288	34514	36676	35308	34460	33286	31843	28570	31536	34277	35686	33492	33406	35961	32242	28365	35882	27649	37248	30181	27874	29576	25012	31313	35842
CM027508.1__d.g.vcf.dataset4.vcf.simple.vcf	862832	402259	7164259	7372928	7028038	7015559	4898963	7210564	6658281	7473810	7455999	7495046	6805456	6651980	7331342	4120589	6570927	7194565	5279862	6614889	7037032	6481494	7423907	7021995	7177876	7154499	7110697	6804441	6724482	6091552	6730933	6897057	7414332	6938869	6998556	7281505	7082746	7317696	7273159	5727876	7259578	7104388	6540779	6743868	5672206	7110807	7383611	3355	1518	32152	24370	23543	29141	20231	33994	29068	33475	32978	34214	30536	28810	32601	16761	30532	30261	21526	29694	32147	30495	33899	31423	31868	32009	31534	31227	29170	27279	29165	31566	34710	31033	30941	33126	30824	25839	32866	25485	33492	28391	26640	27104	23343	27420	33281
CM027508.1__e.g.vcf.dataset4.vcf.simple.vcf	931957	430999	7375768	7587953	7257354	7222675	5064725	7424986	6931366	7689916	7668891	7705348	6981206	6895071	7522984	4122356	6796725	7399267	5482839	6846632	7226125	6667171	7630607	7252085	7384093	7366601	7322611	7039614	6908553	6311744	6926155	7123572	7626061	7084248	7216644	7494956	7308978	7521729	7472038	5864683	7479545	7321524	6749669	6925299	5871065	7336304	7598322	3839	1831	31970	22968	25401	28298	20983	32213	29189	33662	33659	34026	30558	30236	29310	16689	29907	32692	22448	30202	32273	29882	33427	32133	32367	32250	31479	31182	30198	26852	29042	32021	34175	30108	31292	32777	30564	25447	32184	25582	32468	29998	27248	28533	23379	29790	32911
CM027508.1__f.g.vcf.dataset4.vcf.simple.vcf	842972	379177	6620794	6807589	6375915	6516165	4717485	6720995	6119419	6936657	6919220	6959361	6390993	6045821	6845971	4002703	6145610	6651945	5112005	6142591	6437251	5906420	6872875	6409921	6658158	6626539	6501660	6245586	6175282	5754192	6176643	6323871	6884910	6465824	6463589	6798315	6509927	6797264	6741078	5299563	6711565	6628372	5948207	6230991	5204358	6547203	6828785	5189	2634	31046	25118	27647	31064	23912	31674	27528	30976	30298	22334	30201	30154	28504	18394	28744	33328	22539	28462	30728	28810	31763	30072	33574	32450	29893	29723	27001	27417	27611	29394	32785	29214	30207	32329	29885	28584	31108	24874	32365	31277	26322	29071	25391	29005	33726
CM027508.1__g.g.vcf.dataset4.vcf.simple.vcf	975270	446663	7458293	7676946	7324565	7301987	5238795	7523650	7045684	7782167	7760788	7798440	7123284	6973520	7630818	4188732	6902753	7505411	5539924	6963821	7299875	6782265	7727618	7359379	7472851	7472809	7413229	7116721	6993583	6365387	6990840	7228923	7720981	7188951	7303734	7595452	7406123	7622923	7555595	5989145	7570506	7413534	6847577	7004593	5960197	7419603	7684833	3330	1575	26336	17266	20347	23399	16769	26140	23989	26661	26183	27336	24996	24921	27839	14192	24139	24131	17898	24944	26071	24101	27015	26351	25229	26419	25892	26274	24234	20934	23555	25059	27755	24740	25526	26726	27503	20801	26331	21868	27388	24033	21228	22647	19106	23838	26790
CM027508.1__h.g.vcf.dataset4.vcf.simple.vcf	307575	124839	2886402	2965144	2776043	2841516	2013341	2931201	2556969	3023335	3024827	3041134	2770485	2563818	2993040	1743086	2668124	2891148	2107025	2593795	2781372	2522898	2987847	2745227	2898683	2870342	2798908	2659203	2665183	2471773	2689146	2718626	3004725	2840741	2802722	2972204	2798481	2972516	2945999	2255779	2905131	2889247	2508790	2710194	2232623	2831256	2973946	2031	1038	19912	15832	13576	18466	12655	21108	17404	21164	20745	21421	19345	17730	21109	10845	18897	19783	14159	18656	19675	17914	21103	19773	20657	19768	19002	18726	18308	16831	18110	19001	21886	19449	19334	21061	19084	17330	20397	15333	20374	18969	15956	16956	14355	17928	21291
CM027508.1b__a.g.vcf.dataset4.vcf.simple.vcf	714896	320710	6303609	6489686	6116512	6205093	4370810	6375617	5760410	6597529	6586946	6627470	6020383	5741017	6504380	3705949	5836646	6311862	4602511	5776527	6120891	5577420	6534905	6073978	6320458	6289363	6196422	5899523	5866875	5421819	5889183	6002405	6552916	6130483	6136716	6465950	6163652	6469592	6407320	4978704	6376781	6286381	5633830	5917828	4935666	6219371	6501001	3814	1780	34731	25843	24834	30533	21537	35029	29928	36511	39133	37334	33873	31365	36022	18236	30467	34278	23571	32769	32196	32075	36451	33467	35639	23998	34095	33087	30753	29847	31454	32746	36286	32612	33009	36822	33584	25495	34809	28090	36769	30673	27626	30308	24984	31120	36666
CM027508.1b__b.g.vcf.dataset4.vcf.simple.vcf	794349	345113	6785679	6983163	6601336	6673033	4717295	6865165	6240083	7103098	7088255	7125648	6491779	6239649	6986533	3966494	6275161	6812430	4981079	6253495	6624015	6050737	7037326	6602826	6809103	6776018	6706184	6412848	6336295	5833059	6353249	6492681	7047794	6590549	6618872	6949127	6672817	6962842	6908488	5403361	6869860	6767761	6097290	6379354	5343049	6716285	7001270	3368	1577	32776	27976	24178	30668	21460	34736	28874	35154	35119	37029	32282	30329	35069	17077	30508	31968	21973	31621	32790	29327	35599	32657	35062	30725	32633	31769	29463	28302	30248	32598	35301	32239	33162	35030	33310	27321	32151	26539	33946	31107	26692	29303	23432	30679	35186
CM027508.1b__c.g.vcf.dataset4.vcf.simple.vcf	816358	361702	6803335	7018653	6703854	6669469	4642743	6868366	6331645	7109831	7097147	7134742	6448257	6256428	6987814	3835588	6278409	6832943	5010304	6274768	6643710	6081055	7049688	6621563	6817783	6789318	6712989	6412390	6338837	5784563	6361482	6537033	7061072	6570804	6651557	6944128	6693291	6964407	6907909	5453575	6896663	6768280	6156941	6386302	5365124	6742560	7022111	3025	1492	34847	26719	25544	29905	20399	33390	31457	36142	36081	36546	32218	31100	34870	17317	30113	32838	22720	32060	34799	32837	35510	31881	35254	34455	33358	33386	31512	28911	30768	33410	36609	32960	32788	36847	33653	26868	34461	28363	35313	30396	26876	28847	24703	31313	35485
CM027508.1b__d.g.vcf.dataset4.vcf.simple.vcf	787479	352380	6775313	6987813	6619824	6661778	4675074	6855071	6260093	7089424	7075338	7113521	6475164	6228998	6971517	3950961	6255871	6808718	4986225	6249689	6619088	6049774	7026499	6582490	6793879	6766830	6679543	6377444	6324563	5815575	6363519	6482902	7033046	6587272	6621105	6929215	6662840	6940461	6896854	5408432	6861307	6755984	6088767	6378405	5308864	6712720	6985342	3253	1402	33991	27597	25000	29023	20686	34318	30519	34635	35728	36381	27820	30723	33653	17978	30558	31948	22711	31468	32799	30923	35438	32786	33656	32634	32141	32630	29389	29174	30278	32990	36544	31980	32653	35156	32545	28039	35587	26478	35073	30781	27381	29367	22981	27456	34708
CM027508.1b__e.g.vcf.dataset4.vcf.simple.vcf	779431	344317	6797790	6981911	6615118	6655800	4601232	6844657	6245960	7081061	7066013	7105379	6373339	6242341	6959993	3836085	6235553	6805871	4991905	6247300	6616816	6077603	7024776	6596843	6791909	6755262	6701106	6390275	6336750	5738238	6376527	6502870	7030452	6524406	6625012	6906014	6683445	6925916	6901902	5421038	6858711	6733657	6127606	6356523	5352355	6724139	6985491	3466	1564	37938	27464	27089	33858	22613	37088	33055	38610	39913	39817	35548	34027	38148	19179	34041	36696	25250	33997	37024	33542	38591	36680	37674	36905	36445	33860	33863	30967	33318	36767	39964	35467	37236	38638	35652	27762	37495	29559	36304	33627	29927	31674	26843	33512	38495
CM027508.1b__f.g.vcf.dataset4.vcf.simple.vcf	822707	374585	6947228	7140882	6788479	6795396	4736091	6999455	6465470	7240659	7227581	7263191	6516893	6423124	7113532	3948542	6391685	6972497	5150824	6381166	6800596	6259035	7185970	6796934	6953486	6925028	6875020	6570630	6499672	5840204	6559044	6676290	7188173	6637873	6777890	7068663	6845135	7079282	7060030	5554135	7029487	6881490	6303036	6498496	5507318	6893871	7155690	3735	1864	34835	25755	23882	30375	22364	33724	29981	35084	35381	36885	32326	31691	34021	15140	30310	32213	22876	30510	33848	30823	35998	32792	34881	33639	32350	32520	29901	28983	31504	34404	36105	27553	32683	36096	32566	27424	34784	27187	35349	30110	28093	29136	24678	31769	35927
CM027508.1b__g.g.vcf.dataset4.vcf.simple.vcf	789567	362664	6566393	6747592	6257127	6478845	4912697	6656059	6146013	6912922	6893081	6931611	6393255	6117010	6807994	3959979	6128672	6654183	4863108	6130619	6409224	5958922	6850236	6428173	6602993	6600671	6468099	6248073	6187821	5801838	6172468	6328029	6848942	6408843	6441572	6774840	6520675	6776085	6690569	5076880	6710455	6606719	5964703	6205260	5264351	6517843	6801837	4569	2114	41528	31941	28906	38331	28132	42054	35775	42757	43739	44234	40256	37000	40533	22925	37937	38475	28441	39141	31237	38824	44096	39830	41184	41896	40111	39149	37547	36664	37840	39859	41045	38914	38003	43095	39262	34004	42031	30473	42100	37895	33791	35664	27685	35957	44072
CM027508.1b__h.g.vcf.dataset4.vcf.simple.vcf	464890	208726	3677746	3787019	3604644	3609794	2559474	3707283	3461293	3845381	3832805	3853266	3525090	3432936	3776483	2102191	3402756	3712189	2737940	3464024	3588521	3322107	3813075	3612058	3686674	3690653	3629352	3489163	3454453	3210377	3462242	3551668	3810670	3563702	3609050	3759735	3645595	3764737	3738871	2949132	3735503	3676644	3365415	3477388	2938135	3656828	3796710	1507	744	14046	11067	10469	12327	9637	13872	12308	13744	14795	15336	13424	13180	14342	7289	12564	12417	10325	12691	13491	12720	14658	14052	14298	14117	13191	13151	12888	12039	13200	13907	16218	13010	13233	15158	13613	11083	12971	11097	13906	11818	11520	11465	9842	12319	14975
CM027509.1__a.g.vcf.dataset4.vcf.simple.vcf	995125	481355	7239731	7445598	7039543	7110726	5418298	7285434	6908793	7574786	7553010	7587931	7033148	6916330	7451743	4215362	6718677	7324757	5418241	6851791	7149461	6719272	7528929	7190085	7237176	7268541	7226911	7004092	6860824	6363179	6830189	7024587	7498235	6958485	7114609	7410164	7242322	7428090	7336004	5611637	7403670	7235787	6758378	6833850	5938236	7231154	7489158	5720	2834	45906	35672	32876	41577	29953	45909	40629	48155	46963	47944	44026	41939	46726	14882	42060	45293	31368	42912	45691	43528	47638	45151	46513	46090	44845	45261	42441	40385	41327	45293	47462	42299	44557	47393	44940	35171	45159	33436	47078	42452	39335	38814	34755	42023	44635
CM027509.1__b.g.vcf.dataset4.vcf.simple.vcf	919088	437139	7140216	7346386	6977327	7005277	5038976	7192893	6739729	7450119	7426869	7465960	6812143	6737470	7313743	4024245	6593309	7205893	5339664	6692935	7029476	6553562	7404572	7061598	7145281	7168872	7126800	6840002	6747469	6155730	6754166	6936618	7388861	6894552	6998486	7274104	7114282	7306834	7257862	5692956	7258333	7104369	6592343	6714636	5734831	7113841	7367485	3731	1895	24606	16314	19136	24190	18372	22366	20738	17892	25430	24537	24089	21609	23917	13102	21889	22987	16883	22479	25343	23908	24302	22721	18286	23294	23504	24675	21320	21268	20950	22452	25552	22642	23683	24260	22625	23462	22273	18957	23762	22550	19131	21022	19030	23195	24074
CM027509.1__c.g.vcf.dataset4.vcf.simple.vcf	919824	434287	7385057	7597992	7252123	7233239	4983175	7430646	6919518	7697358	7680938	7715020	6944786	6927272	7532147	3979942	6791310	7419610	5510049	6878203	7277608	6724686	7646505	7278503	7393119	7384160	7360046	7066832	6931856	6227625	6944564	7160751	7633743	7063860	7223788	7489841	7341434	7529750	7480820	5908704	7497538	7322609	6804130	6931741	5924708	7356403	7610700	4356	1915	34949	27591	25240	31075	20479	34957	30884	31337	35051	35375	31469	32019	34102	16745	30642	32526	23648	32673	33671	31478	35011	33338	34610	32556	34058	33509	30262	27903	30626	32783	35073	32959	32673	35618	32999	25932	34328	26893	34947	30525	27965	29114	24583	30454	35623
CM027509.1__d.g.vcf.dataset4.vcf.simple.vcf	889639	405968	7260107	7471279	7138832	7104824	4974535	7303115	6798048	7562773	7544498	7582551	6861711	6809371	7424612	4053213	6675349	7295732	5401369	6746772	7149729	6611752	7509444	7125556	7255431	7240495	7222059	6927782	6806756	6182589	6825475	7017590	7508335	6959988	7107764	7377271	7183498	7399220	7362679	5788162	7352199	7186599	6696164	6820508	5845933	7221760	7474120	4280	1869	36574	28830	27445	31574	23144	37351	33959	38267	37661	38667	35188	33080	37880	18780	34195	34189	25089	34394	35764	35259	39711	35859	38140	36765	36725	36755	33557	30949	33158	36679	39624	35266	35536	38598	35495	28914	37825	29100	39256	32355	30673	31507	26286	34277	39061
